INFO:     Will watch for changes in these directories: ['G:\\BaiduSyncdisk\\py\\cozywriter']
INFO:     Uvicorn running on http://0.0.0.0:13567 (Press CTRL+C to quit)
INFO:     Started reloader process [253836] using WatchFiles
INFO:     Started server process [250208]
INFO:     Waiting for application startup.
18:04:04 | cozywriter | INFO | [Orphan reap] DB runs reaped=0 ids=[]; in-memory tasks cancelled=[]
18:29:29 | cozywriter | INFO | [API] GET /api/projects ¡ú 200 (5ms)
18:29:29 | cozywriter | INFO | [API] GET /api/projects ¡ú 200 (6ms)
18:29:29 | cozywriter | INFO | [API] GET /api/genres ¡ú 200 (2ms)
18:29:29 | cozywriter | INFO | [API] GET /api/inspirations ¡ú 200 (3ms)
18:29:29 | cozywriter | INFO | [API] GET /api/workflow/in-flight ¡ú 200 (4ms)
18:29:29 | cozywriter | INFO | [API] GET /api/genres ¡ú 200 (5ms)
18:29:29 | cozywriter | INFO | [API] GET /api/inspirations ¡ú 200 (3ms)
18:29:29 | cozywriter | INFO | [API] GET /api/workflow/in-flight ¡ú 200 (3ms)
18:29:29 | cozywriter | INFO | [API] GET /favicon.ico ¡ú 404 (1ms)
18:29:38 | cozywriter | INFO | [API] GET / ¡ú 200 (1ms)
18:29:38 | cozywriter | INFO | [API] GET /.well-known/appspecific/com.chrome.devtools.json ¡ú 404 (1ms)
18:29:39 | cozywriter | INFO | [API] GET / ¡ú 200 (1ms)
18:29:39 | cozywriter | INFO | [API] GET /.well-known/appspecific/com.chrome.devtools.json ¡ú 404 (0ms)
18:29:39 | cozywriter | INFO | [API] GET / ¡ú 200 (1ms)
18:29:39 | cozywriter | INFO | [API] GET /.well-known/appspecific/com.chrome.devtools.json ¡ú 404 (1ms)
18:29:39 | cozywriter | INFO | [API] GET / ¡ú 200 (1ms)
18:29:39 | cozywriter | INFO | [API] GET /.well-known/appspecific/com.chrome.devtools.json ¡ú 404 (1ms)
18:29:39 | cozywriter | INFO | [API] GET / ¡ú 200 (0ms)
18:29:39 | cozywriter | INFO | [API] GET /.well-known/appspecific/com.chrome.devtools.json ¡ú 404 (0ms)
18:29:39 | cozywriter | INFO | [API] GET /api/init/status ¡ú 200 (3ms)
18:29:39 | cozywriter | INFO | [API] GET /api/init/status ¡ú 200 (3ms)
18:29:40 | cozywriter | INFO | [API] GET /api/projects ¡ú 200 (3ms)
18:29:40 | cozywriter | INFO | [API] GET /api/projects ¡ú 200 (3ms)
18:29:40 | cozywriter | INFO | [API] GET /api/genres ¡ú 200 (1ms)
18:29:40 | cozywriter | INFO | [API] GET /api/inspirations ¡ú 200 (2ms)
18:29:40 | cozywriter | INFO | [API] GET /api/workflow/in-flight ¡ú 200 (3ms)
18:29:40 | cozywriter | INFO | [API] GET /api/genres ¡ú 200 (4ms)
18:29:40 | cozywriter | INFO | [API] GET /api/inspirations ¡ú 200 (4ms)
18:29:40 | cozywriter | INFO | [API] GET /favicon.ico ¡ú 404 (2ms)
18:29:40 | cozywriter | INFO | [API] GET /api/workflow/in-flight ¡ú 200 (4ms)
18:29:48 | cozywriter | INFO | [API] GET / ¡ú 200 (1ms)
18:29:48 | cozywriter | INFO | [API] GET /.well-known/appspecific/com.chrome.devtools.json ¡ú 404 (1ms)
18:29:48 | cozywriter | INFO | [API] GET /api/init/status ¡ú 200 (3ms)
18:29:48 | cozywriter | INFO | [API] GET /api/init/status ¡ú 200 (2ms)
